"Geography","Occupations(NOC)","Men","Women"
"Canada i1","0 Legislative and senior management occupations","186,230","81,460"
"Canada i1","1 Business, finance and administration occupations","1,135,350","2,421,705"
"Canada i1","2 Natural and applied sciences and related occupations","1,257,790","408,895"
"Canada i1","3 Health occupations","315,180","1,286,535"
"Canada i1","4 Occupations in education, law and social, community and government services","816,725","1,715,450"
"Canada i1","5 Occupations in art, culture, recreation and sport","319,920","377,340"
"Canada i1","6 Sales and service occupations","2,316,525","2,909,845"
"Canada i1","7 Trades, transport and equipment operators and related occupations","3,204,945","321,855"
"Canada i1","8 Natural resources, agriculture and related production occupations","472,910","144,515"
"Canada i1","9 Occupations in manufacturing and utilities","664,465","272,895"
"Newfoundland and Labrador i2","0 Legislative and senior management occupations","1,270","915"
"Newfoundland and Labrador i2","1 Business, finance and administration occupations","9,400","26,045"
"Newfoundland and Labrador i2","2 Natural and applied sciences and related occupations","12,580","3,585"
"Newfoundland and Labrador i2","3 Health occupations","4,080","19,235"
"Newfoundland and Labrador i2","4 Occupations in education, law and social, community and government services","10,460","26,910"
"Newfoundland and Labrador i2","5 Occupations in art, culture, recreation and sport","2,620","3,320"
"Newfoundland and Labrador i2","6 Sales and service occupations","27,230","40,925"
"Newfoundland and Labrador i2","7 Trades, transport and equipment operators and related occupations","50,230","4,345"
"Newfoundland and Labrador i2","8 Natural resources, agriculture and related production occupations","10,905","2,750"
"Newfoundland and Labrador i2","9 Occupations in manufacturing and utilities","7,680","3,475"
"Prince Edward Island i3","0 Legislative and senior management occupations","540","335"
"Prince Edward Island i3","1 Business, finance and administration occupations","3,800","9,525"
"Prince Edward Island i3","2 Natural and applied sciences and related occupations","3,855","1,405"
"Prince Edward Island i3","3 Health occupations","1,080","6,185"
"Prince Edward Island i3","4 Occupations in education, law and social, community and government services","3,245","7,725"
"Prince Edward Island i3","5 Occupations in art, culture, recreation and sport","1,040","1,225"
"Prince Edward Island i3","6 Sales and service occupations","9,080","13,325"
"Prince Edward Island i3","7 Trades, transport and equipment operators and related occupations","14,380","1,185"
"Prince Edward Island i3","8 Natural resources, agriculture and related production occupations","6,040","1,645"
"Prince Edward Island i3","9 Occupations in manufacturing and utilities","3,045","1,620"
"Nova Scotia i4","0 Legislative and senior management occupations","3,330","2,045"
"Nova Scotia i4","1 Business, finance and administration occupations","23,020","56,290"
"Nova Scotia i4","2 Natural and applied sciences and related occupations","26,140","8,130"
"Nova Scotia i4","3 Health occupations","8,345","40,480"
"Nova Scotia i4","4 Occupations in education, law and social, community and government services","26,255","46,955"
"Nova Scotia i4","5 Occupations in art, culture, recreation and sport","6,985","8,935"
"Nova Scotia i4","6 Sales and service occupations","60,170","81,190"
"Nova Scotia i4","7 Trades, transport and equipment operators and related occupations","82,710","7,065"
"Nova Scotia i4","8 Natural resources, agriculture and related production occupations","17,075","3,640"
"Nova Scotia i4","9 Occupations in manufacturing and utilities","16,050","5,605"
["New Brunswick i5"],"0 Legislative and senior management occupations","2,465","1,340"
"New Brunswick i5","1 Business, finance and administration occupations","18,285","45,135"
"New Brunswick i5","2 Natural and applied sciences and related occupations","19,945","5,635"
"New Brunswick i5","3 Health occupations","5,955","31,265"
"New Brunswick i5","4 Occupations in education, law and social, community and government services","19,220","36,410"
"New Brunswick i5","5 Occupations in art, culture, recreation and sport","4,145","5,010"
"New Brunswick i5","6 Sales and service occupations","48,225","66,140"
"New Brunswick i5","7 Trades, transport and equipment operators and related occupations","70,425","5,255"
"New Brunswick i5","8 Natural resources, agriculture and related production occupations","13,740","2,990"
"New Brunswick i5","9 Occupations in manufacturing and utilities","15,775","5,900"
"Quebec i6","0 Legislative and senior management occupations","60,115","23,385"
"Quebec i6","1 Business, finance and administration occupations","273,850","558,940"
"Quebec i6","2 Natural and applied sciences and related occupations","284,830","92,160"
"Quebec i6","3 Health occupations","74,415","307,850"
"Quebec i6","4 Occupations in education, law and social, community and government services","179,715","421,960"
"Quebec i6","5 Occupations in art, culture, recreation and sport","85,080","87,935"
"Quebec i6","6 Sales and service occupations","563,310","644,140"
"Quebec i6","7 Trades, transport and equipment operators and related occupations","700,360","62,270"
"Quebec i6","8 Natural resources, agriculture and related production occupations","79,010","20,590"
"Quebec i6","9 Occupations in manufacturing and utilities","163,635","63,550"
"Ontario i7","0 Legislative and senior management occupations","69,175","30,700"
"Ontario i7","1 Business, finance and administration occupations","479,380","948,920"
"Ontario i7","2 Natural and applied sciences and related occupations","537,175","181,235"
"Ontario i7","3 Health occupations","115,790","462,405"
"Ontario i7","4 Occupations in education, law and social, community and government services","316,155","641,320"
"Ontario i7","5 Occupations in art, culture, recreation and sport","123,405","149,130"
"Ontario i7","6 Sales and service occupations","877,765","1,100,565"
"Ontario i7","7 Trades, transport and equipment operators and related occupations","1,153,435","125,020"
"Ontario i7","8 Natural resources, agriculture and related production occupations","126,660","41,815"
"Ontario i7","9 Occupations in manufacturing and utilities","273,785","131,870"
"Manitoba i8","0 Legislative and senior management occupations","4,385","2,320"
"Manitoba i8","1 Business, finance and administration occupations","35,445","79,830"
"Manitoba i8","2 Natural and applied sciences and related occupations","31,450","9,565"
"Manitoba i8","3 Health occupations","13,445","48,215"
"Manitoba i8","4 Occupations in education, law and social, community and government services","33,095","67,220"
"Manitoba i8","5 Occupations in art, culture, recreation and sport","7,875","9,970"
