"occupations(NOC)","Canada i1","Newfoundland and Labrador i2","Prince Edward Island i3","Nova Scotia i4","New Brunswick i5","Quebec i6","Ontario i7","Manitoba i8","Saskatchewan i9","Alberta i10","British Columbia i11","Yukon i12","Northwest Territories i13","Nunavut i14"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 10","30,335,920","433,955","126,900","819,315","648,250","6,918,730","11,782,825","1,058,410","882,760","3,375,130","4,200,425","32,775","31,915","24,540"
"Occupation - not applicable 11","9,705,395","165,980","36,600","288,900","224,990","2,171,615","3,897,110","331,285","266,970","953,020","1,344,530","7,260","7,770","9,355"
"All occupations 12","20,630,520","267,975","90,300","530,410","423,255","4,747,110","7,885,715","727,130","615,790","2,422,110","2,855,890","25,520","24,145","15,180"
"0 Legislative and senior management occupations","267,690","2,180","875","5,380","3,810","83,500","99,875","6,705","5,725","24,445","34,020","460","435","280"
"00 Legislative and senior managers","267,690","2,180","875","5,380","3,810","83,500","99,875","6,705","5,725","24,445","34,020","460","435","280"
"000 Legislative and senior managers","267,690","2,180","875","5,380","3,810","83,500","99,875","6,705","5,725","24,445","34,020","460","435","280"
"0001 Legislative and senior managers","267,690","2,180","875","5,380","3,810","83,500","99,875","6,705","5,725","24,445","34,020","460","435","280"
"00010 Legislators","9,385","75","50","385","235","2,165","2,460","560","710","1,165","1,350","85","75","60"
"00018 Seniors managers - public and private sector 13","258,305","2,110","830","4,990","3,575","81,335","97,415","6,140","5,015","23,285","32,665","375","355","220"
"1 Business, finance and administration occupations","3,557,055","35,440","13,330","79,305","63,420","832,790","1,428,300","115,275","89,410","403,300","484,985","4,535","4,350","2,605"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","3,355","1,305","9,295","6,370","93,585","212,585","11,200","8,780","43,725","62,025","590","525","310"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","3,355","1,305","9,295","6,370","93,585","212,585","11,200","8,780","43,725","62,025","590","525","310"
"1001 Administrative services managers","207,885","1,820","720","4,430","3,245","51,585","88,120","5,235","4,200","21,425","26,210","350","325","235"
"10010 Financial managers","78,200","525","245","1,595","1,145","22,125","33,090","1,935","1,310","6,970","8,910","130","115","100"
"10011 Human resources managers","52,360","565","220","1,145","840","11,355","22,730","1,580","1,340","5,785","6,570","85","85","60"
"10012 Purchasing managers","27,900","275","65","610","415","6,075","12,535","510","545","3,460","3,350","20","25","10"
"10019 Other administrative services managers","49,425","460","190","1,080","845","12,025","19,760","1,205","1,010","5,210","7,380","115","90","60"
"1002 Managers in financial and business services","234,915","1,425","580","4,630","2,930","39,645","119,460","5,690","4,375","21,180","34,535","210","195","70"
"10020 Insurance, real estate and financial brokerage managers","37,760","135","60","850","450","4,855","18,505","1,180","725","3,580","7,350","25","30","0"
"10021 Banking, credit and other investment managers","77,720","455","130","1,380","995","15,215","39,545","1,700","1,855","7,015","9,325","65","35","10"
"10022 Advertising, marketing and public relations managers","95,605","570","295","1,840","935","16,300","50,240","2,065","1,290","7,635","14,220","90","85","30"
"10029 Other business services managers","23,835","265","85","555","545","3,270","11,170","740","510","2,950","3,645","30","40","20"
"1003 Managers in communication (except broadcasting)","10,840","110","10","230","190","2,360","5,005","280","205","1,125","1,280","30","10","0"
"10030 Telecommunication carriers managers","10,840","110","10","230","190","2,360","5,005","280","205","1,125","1,280","30","10","0"
"11 Professional occupations in finance and business","794,045","5,390","2,120","15,080","11,420","187,060","347,735","20,420","15,125","82,695","105,525","660","565","250"
"111 Professional occupations in finance","422,595","3,120","1,075","7,930","5,540","99,280","180,325","11,540","8,470","46,865","57,955","200","200","90"
"1110 Auditors, accountants and investment professionals","422,595","3,120","1,075","7,930","5,540","99,280","180,325","11,540","8,470","46,865","57,955","200","200","90"
"11100 Financial auditors and accountants","211,865","1,945","605","4,210","2,880","48,240","83,600","6,435","4,480","27,920","31,290","100","110","50"
"11101 Financial and investment analysts","61,240","180","70","880","570","16,685","31,765","1,040","585","3,995","5,395","20","40","20"
"11102 Financial advisors","101,930","840","330","2,070","1,555","24,185","42,225","3,055","2,685","10,950","13,890","65","45","20"
"11103 Securities agents, investment dealers and brokers","15,880","45","35","180","195","2,505","8,155","350","190","1,570","2,655","0","0","0"
"11109 Other financial officers","31,675","120","35","585","345","7,665","14,580","655","530","2,425","4,720","10","0","10"
"112 Professional occupations in business","371,455","2,270","1,045","7,150","5,875","87,780","167,415","8,880","6,655","35,830","47,575","460","365","160"
"1120 Human resources and business service professionals","371,455","2,270","1,045","7,150","5,875","87,780","167,415","8,880","6,655","35,830","47,575","460","365","160"
"11200 Human resources professionals","99,785","870","375","2,155","2,900","26,725","40,520","3,250","2,430","9,915","10,225","185","135","100"
"11201 Professional occupations in business management consulting","113,075","535","215","1,820","1,355","26,305","53,425","2,055","1,535","11,535","14,080","100","80","10"
"11202 Professional occupations in advertising, marketing and public relations","158,600","860","455","3,175","1,615","34,750","73,465","3,575","2,690","14,385","23,270","170","150","45"
"12 Administrative and financial supervisors and specialized administrative occupations","523,055","6,045","2,795","11,705","9,560","119,970","202,025","17,715","14,520","63,510","73,360","710","745","395"
"120 Administrative and financial supervisors","70,690","830","225","1,535","1,380","14,635","29,065","2,655","1,680","9,135","9,345","80","75","35"
"1201 Administrative and financial supervisors","70,690","830","225","1,535","1,380","14,635","29,065","2,655","1,680","9,135","9,345","80","75","35"
"12010 Supervisors, general office and administrative support workers","19,380","240","65","450","400","4,290","7,010","590","485","3,100","2,685","30","20","20"
"12011 Supervisors, finance and insurance office workers","18,350","215","45","355","380","4,025","7,705","920","450","2,055","2,150","15","20","10"
"12012 Supervisors, library, correspondence and related information workers","3,420","90","20","175","125","470","1,230","145","120","415","610","10","15","10"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","29,540","280","90","560","475","5,845","13,130","995","635","3,560","3,905","35","25","0"
"121 Specialized administrative occupations","229,445","3,445","1,460","5,105","4,100","58,360","90,900","7,345","5,060","25,495","27,205","370","390","205"
"1210 Administrative and regulatory occupations","203,740","3,135","1,375","4,405","3,525","52,345","80,590","6,530","4,335","22,345","24,270","340","350","190"
"12100 Executive assistants","50,205","390","165","990","710","13,105","20,445","1,475","1,295","5,055","6,295","100","115","55"
"12101 Human resources and recruitment officers","43,415","340","120","780","590","14,020","17,930","950","590","3,585","4,335","55","70","55"
"12102 Procurement and purchasing agents and officers","52,200","415","155","1,100","845","13,730","18,530","1,495","1,345","8,575","5,740","110","105","60"
"12103 Conference and event planners","24,200","200","105","555","220","4,640","11,355","545","355","2,395","3,745","60","20","10"
"12104 Employment insurance and revenue officers","33,725","1,785","835","985","1,165","6,845","12,335","2,065","750","2,730","4,155","15","45","20"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","25,705","315","80","700","575","6,020","10,305","815","725","3,150","2,940","30","40","15"
"12110 Court reporters, medical transcriptionists and related occupations","10,390","80","30","390","290","2,110","3,810","375","345","1,415","1,525","0","10","0"
"12111 Health information management occupations","6,495","140","25","125","140","2,070","2,395","235","265","575","480","10","25","10"
"12112 Records management technicians","3,010","60","10","60","45","1,050","840","30","30","590","260","15","10","0"
"12113 Statistical officers and related research support occupations","5,810","35","15","120","95","800","3,260","170","85","565","670","0","10","0"
"122 Accounting, insurance and related business administrative occupations","222,925","1,765","1,110","5,065","4,080","46,975","82,055","7,715","7,780","28,880","36,805","255","275","155"
"1220 Accounting, insurance and related business administrative occupations","222,925","1,765","1,110","5,065","4,080","46,975","82,055","7,715","7,780","28,880","36,805","255","275","155"
